f (THz) - Reference	Amplitude - Reference	f (THz) - Signal	Amplitude - Signal	f (THz) - Drude	Amplitude - Drude	
0.234375	0.152234	0.234375	0.0951006	0.234375	0.115439	
0.292969	0.176805	0.292969	0.108923	0.292969	0.134213	
0.351563	0.186323	0.351563	0.108528	0.351563	0.141636	
0.410157	0.182044	0.410157	0.0954498	0.410157	0.138593	
0.46875	0.168787	0.46875	0.0755862	0.46875	0.128736	
0.527344	0.152065	0.527344	0.0553082	0.527344	0.116212	
0.585938	0.134989	0.585938	0.0380845	0.585938	0.103387	
0.644532	0.117488	0.644532	0.0242378	0.644532	0.0902009	
0.703126	0.0986462	0.703126	0.0132025	0.703126	0.0759251	
0.76172	0.0792168	0.76172	0.00497482	0.76172	0.0611406	
0.820313	0.0614427	0.820313	0.00162942	0.820313	0.0475582	
0.878907	0.04695	0.878907	0.00426132	0.878907	0.0364506	
0.937501	0.0354891	0.937501	0.00547774	0.937501	0.0276399	
0.996095	0.0259119	0.996095	0.00532843	0.996095	0.0202464	
1.05469	0.0177351	1.05469	0.00433872	1.05469	0.0139047	
1.11328	0.0113489	1.11328	0.00311852	1.11328	0.00892847	
1.17188	0.00723787	1.17188	0.00217565	1.17188	0.0057145	
1.23047	0.00517278	1.23047	0.00167952	1.23047	0.00409883	
1.28906	0.00409167	1.28906	0.00139878	1.28906	0.00325407	
1.34766	0.00316324	1.34766	0.00110009	1.34766	0.0025251	
1.40625	0.00225904	1.40625	0.000775664	1.40625	0.00181007	
1.46485	0.00151939	1.46485	0.000507127	1.46485	0.00122204	
1.52344	0.00100473	1.52344	0.000324192	1.52344	0.000811172	
1.58203	0.000647627	1.58203	0.000196993	1.58203	0.00052486	
1.64063	0.000380644	1.64063	0.000104249	1.64063	0.000309665	
1.69922	0.000192865	1.69922	4.40187E-5	1.69922	0.000157499	
