f (THz) - Reference	Amplitude - Reference	f (THz) - Signal	Amplitude - Signal	f (THz) - Drude	Amplitude - Drude	
0.117188	0.0759585	0.117188	0.0121388	0.117188	0.0575118	
0.175781	0.114718	0.175781	0.0162314	0.175781	0.0869141	
0.234375	0.150059	0.234375	0.0193782	0.234375	0.11379	
0.292969	0.175334	0.292969	0.0205733	0.292969	0.133095	
0.351563	0.186723	0.351563	0.0192606	0.351563	0.14194	
0.410157	0.183833	0.410157	0.0158359	0.410157	0.139955	
0.46875	0.17001	0.46875	0.011651	0.46875	0.129668	
0.527344	0.15125	0.527344	0.00823145	0.527344	0.115589	
0.585938	0.132893	0.585938	0.00616545	0.585938	0.101781	
0.644532	0.116342	0.644532	0.00481565	0.644532	0.0893209	
0.703126	0.099784	0.703126	0.00352232	0.703126	0.0768009	
0.76172	0.0820853	0.76172	0.00228045	0.76172	0.0633545	
0.820313	0.0645495	0.820313	0.0013266	0.820313	0.049963	
0.878907	0.0492359	0.878907	0.00075226	0.878907	0.0382253	
0.937501	0.0368669	0.937501	0.000458824	0.937501	0.0287131	
0.996095	0.0267646	0.996095	0.00029504	0.996095	0.0209126	
1.05469	0.0182864	1.05469	0.000178868	1.05469	0.0143369	
1.11328	0.0116052	1.11328	9.39029E-5	1.11328	0.00913009	
