f (THz) - Reference	Amplitude - Reference	f (THz) - Signal	Amplitude - Signal	f (THz) - Drude	Amplitude - Drude	
0.234375	0.152234	0.234375	0.089257	0.234375	0.115439	
0.292969	0.176805	0.292969	0.104566	0.292969	0.134213	
0.351563	0.186323	0.351563	0.108894	0.351563	0.141636	
0.410157	0.182044	0.410157	0.102695	0.410157	0.138593	
0.46875	0.168787	0.46875	0.0916399	0.46875	0.128736	
0.527344	0.152065	0.527344	0.0819345	0.527344	0.116212	
0.585938	0.134989	0.585938	0.0742535	0.585938	0.103387	
0.644532	0.117488	0.644532	0.0650335	0.644532	0.0902009	
0.703126	0.0986462	0.703126	0.0526561	0.703126	0.0759251	
0.76172	0.0792168	0.76172	0.0392072	0.76172	0.0611406	
0.820313	0.0614427	0.820313	0.0279001	0.820313	0.0475582	
0.878907	0.04695	0.878907	0.0201102	0.878907	0.0364506	
0.937501	0.0354891	0.937501	0.0147772	0.937501	0.0276399	
0.996095	0.0259119	0.996095	0.01045	0.996095	0.0202464	
1.05469	0.0177351	1.05469	0.00673473	1.05469	0.0139047	
1.11328	0.0113489	1.11328	0.00388473	1.11328	0.00892847	
1.17188	0.00723787	1.17188	0.00212181	1.17188	0.0057145	
1.23047	0.00517278	1.23047	0.00133947	1.23047	0.00409883	
1.28906	0.00409167	1.28906	0.00102683	1.28906	0.00325407	
1.34766	0.00316324	1.34766	0.0007738	1.34766	0.0025251	
1.40625	0.00225904	1.40625	0.00052758	1.40625	0.00181007	
1.46485	0.00151939	1.46485	0.000333624	1.46485	0.00122204	
1.52344	0.00100473	1.52344	0.000204326	1.52344	0.000811172	
1.58203	0.000647627	1.58203	0.000120754	1.58203	0.00052486	
1.64063	0.000380644	1.64063	6.54059E-5	1.64063	0.000309665	
1.69922	0.000192865	1.69922	3.15482E-5	1.69922	0.000157499	
